"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","MFP","TOT","AGRWTH","A","2004",2.01372,
"DNK","MFP","TOT","AGRWTH","A","2005",0.7117,
"DNK","MFP","TOT","AGRWTH","A","2006",0.823502,
"DNK","MFP","TOT","AGRWTH","A","2007",-0.67897,
"DNK","MFP","TOT","AGRWTH","A","2008",-2.239138,
"DNK","MFP","TOT","AGRWTH","A","2009",-2.866895,
"DNK","MFP","TOT","AGRWTH","A","2010",2.618414,
"DNK","MFP","TOT","AGRWTH","A","2011",0.260897,
"DNK","MFP","TOT","AGRWTH","A","2012",0.970602,
"DNK","MFP","TOT","AGRWTH","A","2013",0.388338,
"DNK","MFP","TOT","AGRWTH","A","2014",1.112309,
"DNK","MFP","TOT","AGRWTH","A","2015",1.167014,
"DNK","MFP","TOT","AGRWTH","A","2016",1.084126,
"DNK","MFP","TOT","AGRWTH","A","2017",1.463748,
"DNK","MFP","TOT","AGRWTH","A","2018",1.4162,
"DNK","MFP","TOT","AGRWTH","A","2019",0.422266,
"DNK","MFP","TOT","AGRWTH","A","2020",-0.37771,
"DNK","MFP","TOT","AGRWTH","A","2021",1.525704,
"FIN","MFP","TOT","AGRWTH","A","2001",1.235802,
"FIN","MFP","TOT","AGRWTH","A","2002",0.545061,
"FIN","MFP","TOT","AGRWTH","A","2003",1.357915,
"FIN","MFP","TOT","AGRWTH","A","2004",2.850071,
"FIN","MFP","TOT","AGRWTH","A","2005",1.439742,
"FIN","MFP","TOT","AGRWTH","A","2006",2.165479,
"FIN","MFP","TOT","AGRWTH","A","2007",2.841096,
"FIN","MFP","TOT","AGRWTH","A","2008",-1.494582,
"FIN","MFP","TOT","AGRWTH","A","2009",-6.111769,
"FIN","MFP","TOT","AGRWTH","A","2010",2.942349,
"FIN","MFP","TOT","AGRWTH","A","2011",1.315082,
"FIN","MFP","TOT","AGRWTH","A","2012",-1.873515,
"FIN","MFP","TOT","AGRWTH","A","2013",-0.153909,
"FIN","MFP","TOT","AGRWTH","A","2014",-0.136037,
"FIN","MFP","TOT","AGRWTH","A","2015",0.605036,
"FIN","MFP","TOT","AGRWTH","A","2016",2.208902,
"FIN","MFP","TOT","AGRWTH","A","2017",2.36074,
"FIN","MFP","TOT","AGRWTH","A","2018",-0.967739,
"FIN","MFP","TOT","AGRWTH","A","2019",-0.085247,
"FIN","MFP","TOT","AGRWTH","A","2020",-0.63456,
"FIN","MFP","TOT","AGRWTH","A","2021",0.85629,
"FRA","MFP","TOT","AGRWTH","A","2001",0.716149,
"FRA","MFP","TOT","AGRWTH","A","2002",1.544229,
"FRA","MFP","TOT","AGRWTH","A","2003",-0.133275,
"FRA","MFP","TOT","AGRWTH","A","2004",0.79245,
"FRA","MFP","TOT","AGRWTH","A","2005",0.351365,
"FRA","MFP","TOT","AGRWTH","A","2006",1.689137,
"FRA","MFP","TOT","AGRWTH","A","2007",-0.642045,
"FRA","MFP","TOT","AGRWTH","A","2008",-1.301958,
"FRA","MFP","TOT","AGRWTH","A","2009",-2.003182,
